Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2009,68.7,9,3.35,0,93,0,11,98,,93,,
2008,68.6,9,3.16,0,92,8,12,98,,92,,
2007,68.5,9,3.13,0,92,3550,12,99,,92,,
2006,68.5,10,3.28,0,96,0,12,98,,89,,
2005,68.5,10,3.21,0,92,0,13,97,,79,,
2004,68.4,11,3.13,0,98,0,14,99,,72,,
2003,68.1,12,3.13,0,27,0,15,99,,68,,
2002,67.6,14,3.08,0,,0,18,99,,64,,
2001,66.6,16,2.53,0,,0,21,98,,62,,
2000,65.4,18,3.52,0,,0,25,93,,56,,
2015,59.8,236,,0,81,5020,308,78,,81,,
2014,59.3,237,0.01,0,8,33711,312,79,4.33,8,,
2013,58.8,238,0.01,0,74,88381,314,74,3.89,74,,
2012,58.3,239,0.01,0,75,72029,317,76,3.77,75,,
2011,57.9,239,1.82,0,74,133802,319,77,3.53,74,,
2010,57.4,239,1.81,0,6,5407,321,76,4.4,6,,
2009,56.7,238,2.13,0,72,57,323,78,5.61,72,,
2008,56.3,237,2.09,0,65,12461,324,64,4.46,65,,
2007,55.7,236,1.52,0,7,55577,326,72,3.61,7,,
2006,55,235,1.53,0,,80123,327,62,3.39,62,,
2005,54.3,233,1.43,0,,182485,329,6,3.14,6,,
2004,53.5,232,1.44,0,,44934,330,52,3.34,54,,
2003,52.8,231,1.83,0,,21956,331,47,3.2,41,,
2002,52.1,229,1.85,0,,30466,331,4,2.59,38,,
2001,51.8,227,1.9,0,,8072,332,3,2.67,3,,
2000,51.3,226,1.98,0,,8282,332,42,1.45,4,,
2015,86,0,,0,,9,0,93,,93,0.923,19.2
2014,84,0,9.64,10468.76292,,27,0,94,1.8,94,0.926,19.2
2013,81,0,9.5,10261.763,,17,0,94,11.25,94,0.924,18.7
2012,80,0,9.26,928.4170785,,2,0,94,1.98,94,0.922,18.4
2011,79.7,0,10.47,10251.10872,,84,0,91,1.87,91,0.91,16.9
2010,79.2,0,10.28,954.4865933,,5,0,9,11.8,9,0.906,16.8
2009,78.9,0,10.08,9765.616994,,6,0,89,11.47,89,0.906,16.8
2008,78.8,0,10.7,10761.18209,,14,0,88,1.18,88,0.906,16.8
2007,78.4,0,10.99,9703.068121,,2,0,87,9.99,87,0.904,16.7
2006,78.1,0,11.02,850.9544783,,27,0,93,9.92,93,0.902,16.9
2005,78.1,0,11.28,7627.412444,,2,0,93,9.77,93,0.897,16.6
2004,77.7,0,11.27,6948.839868,,0,0,95,9.67,95,0.893,16.5
2003,77.3,0,11.54,650.9813544,,0,0,96,9.51,96,0.882,16.3
2002,77,0,11.34,4801.546125,,32,0,98,9.33,98,0.875,16.6
2001,77,0,11.56,530.4832336,,11,0,97,9.1,97,0.862,16.2
2000,76.9,0,11.69,508.7496912,,14,0,97,8.7,97,0.86,16.5
2015,63.5,1,,0,84,47,1,84,,84,0.47,6.3
2014,63,1,0.38,24.73299655,78,0,1,78,1.57,78,0.467,6.3
2013,62.7,1,0.53,229.4410095,82,28,2,82,9.14,82,0.464,6.3
2012,62.2,1,0.52,217.2125786,81,709,2,81,8.95,81,0.46,6.3
2011,61.8,1,0.39,20.35974738,87,49,2,87,8.71,87,0.451,5.9
2010,61.3,1,0.44,187.4960097,88,7,2,88,8.84,88,0.441,5.5
2009,69,1,0.49,177.2671607,89,48,2,89,8.37,89,0.436,5.3
2008,62,1,0.49,171.7686449,88,143,2,89,8.5,89,0.427,5
2007,59.8,1,0.45,20.86878709,25,24,2,88,7.72,88,0.416,4.5
2006,59.1,2,1.02,121.4812077,,49,2,72,7.5,72,0.405,4.3
2005,58.6,2,1.23,12.70325933,,298,2,71,7.21,71,0.396,4
2004,58.1,2,1.18,106.0354659,,71,2,64,6.76,64,0.388,3.7
2003,58,2,1.02,94.13302875,,37,2,68,6.22,68,0.378,3.5
2002,57.9,2,1.03,13.46662004,,50,2,62,5.45,62,0.372,3.3
2001,57.7,2,0.95,92.4978948,,79,2,49,5.37,53,0.363,2.9
2000,57.4,2,1.34,91.95075901,,183,2,46,5.75,46,0.361,2.9
2013,,0,0.01,11.41955507,96,0,0,96,5.58,96,0.721,12.7
2015,73.9,6,,0,81,0,7,87,,85,0.718,13.2
2014,73.6,6,5.92,1088.244952,89,0,7,9,4.38,91,0.712,13.2
2013,73.4,6,5.93,97.52211538,8,0,7,82,4.12,83,0.709,13.2
2012,72.1,6,5.93,857.1307037,74,0,7,85,4.26,85,0.706,13.1
2011,73.1,6,5.91,843.7876995,8,2,7,84,4.22,84,0.703,13
2010,72.7,6,6.02,664.5585242,83,0,8,85,4.6,88,0.697,12.9
2009,73.6,6,6.05,587.8828228,8,0,8,85,4.41,82,0.695,12.9
2008,73.3,6,6.12,49.09241952,81,0,8,86,4.2,82,0.692,12.8
2007,72.9,6,6.05,74.8217488,81,0,8,86,4.34,85,0.685,12.7
2006,72.3,7,6.2,352.9551269,84,0,8,88,4.34,89,0.677,12.6
2005,69.7,7,5.71,289.7418649,87,0,8,86,4.26,87,0.668,12.6
2004,69.3,7,5.16,182.6162515,82,0,8,66,4.28,79,0.666,12.5
2003,73,7,6.32,293.0196601,79,0,8,65,5.53,79,0.665,12.4
2002,71.4,7,6.43,4.67359227,63,0,8,74,5.79,82,0.66,12.3
2001,71.2,7,6.13,340.0239945,66,113,9,71,5.59,72,0.656,12.3
2000,72,7,6.58,44.79247812,68,253,9,71,5.9,78,0.651,12.2
2015,76.2,6,,0,78,0,7,84,,78,0.739,14
2014,76,6,3.82,79.11626341,83,0,7,84,9.16,83,0.737,14
2013,76,6,3.77,59.12850204,87,0,8,87,7.29,87,0.725,13.4
2012,75.5,7,3.92,41.88087712,88,72,8,85,6.48,87,0.717,13.3
2011,75.3,7,3.99,344.7412164,88,257,8,85,5.92,88,0.71,13.2
2010,75,7,3.95,367.9285652,9,0,8,88,5.9,91,0.703,13.1
2009,75.1,7,3.87,282.1440066,91,0,8,91,5.58,94,0.702,13.1
2008,74.6,7,3.76,197.9303077,93,1,9,94,5.66,96,0.698,13
2007,74.7,7,3.63,19.60467787,94,0,9,95,5.94,96,0.696,12.9
2006,74.4,8,3.52,19.13983284,96,0,9,92,5.86,96,0.693,12.8
2005,74.2,8,3.54,18.09317114,92,0,9,89,5.87,92,0.688,12.8
2004,74.4,8,3.65,16.37920405,88,0,9,9,6.22,88,0.682,12.7
2003,74.4,8,3.69,18.26183281,82,0,10,97,6.46,87,0.679,12.6
2002,73.6,8,3.88,187.3843511,75,0,10,88,4.62,88,0.675,12.5
2001,73.4,9,4.13,14.5887403,69,2,10,9,3.86,89,0.67,12.4
2000,72.8,9,3.99,84.17527008,36,0,11,83,3.38,87,0.668,12.4
2015,79,51,,0,93,5432,60,93,,93,0.688,13.1
2014,78,53,0.21,0,94,1314,62,94,5.64,94,0.686,13.1
2013,79,54,0.21,0,97,405,63,97,5.46,97,0.681,12.8
2012,72,54,0.23,0,93,245,64,93,5.29,93,0.673,12.4
2011,74,55,0.22,0,96,26,64,96,5.4,96,0.671,12.4
2010,70,54,0.22,0,97,16,64,97,4.8,97,0.665,12.2
2009,69.9,54,0.21,0,97,608,64,97,5.1,97,0.659,12
2008,69.8,54,0.24,0,97,668,65,97,4.82,97,0.651,11.9
2007,69.7,55,0.21,0,98,1684,65,98,4.95,98,0.644,11.7
2006,69.5,55,0.18,0,98,953,66,98,5.24,98,0.636,11.5
2005,69.4,56,0.16,0,98,77,68,98,5.6,98,0.629,11.4
2004,69,57,0.16,0,97,80,70,97,5.21,97,0.623,11.2
2003,68.6,59,0.15,0,98,164,72,98,5.41,98,0.621,11.3
2002,68.7,61,0.15,0,97,653,75,97,5.97,97,0.617,11.2
2001,68.6,63,0.14,0,99,2150,78,99,5.75,99,0.612,11.1
2000,68.8,65,0.14,0,98,2633,82,98,5.55,98,0.606,11
2015,73.5,2,,0,91,0,2,92,,91,0.678,13.2
2014,73.3,2,2.52,665.7260253,93,0,2,93,6.77,94,0.676,13.2
2013,73,2,2.42,653.6925016,92,0,2,92,6.95,92,0.675,13.2
2012,73,2,2.48,591.7757569,92,0,2,93,6.7,92,0.67,13.2
2011,72,2,2.37,549.2783081,89,0,2,9,6.81,89,0.666,13
2010,72,2,2.36,469.3904193,89,0,2,89,6.91,89,0.662,12.9
2009,71.4,2,2.55,416.4338399,91,0,2,91,6.83,91,0.662,12.8
2008,71.7,2,2.68,53.95949877,98,0,3,98,6.21,98,0.659,13.4
2007,71.2,2,2.83,52.30172215,99,0,3,99,6.32,99,0.657,12.9
2006,75,3,2.77,57.74562629,96,0,3,96,6.68,96,0.651,12.9
2005,71,3,2.77,440.6027042,89,0,3,89,7.19,89,0.644,12.7
2004,70,3,2.9,398.6058322,9,0,3,9,7.3,9,0.636,12.4
2003,69.9,3,3.1,400.1342971,94,0,4,93,7.61,94,0.628,12
2002,73,3,2.97,29.68529375,81,0,4,81,7.9,81,0.621,11.8
2001,68.9,4,2.88,332.1056586,75,2,4,94,8.2,92,0.615,11.6
2000,69,4,2.79,353.6690328,99,0,5,98,8.17,99,0.607,11.3
2015,58.2,3,,0,16,1250,4,17,,16,0.582,9.2
2014,57.9,3,0.01,13.40477417,2,13,4,24,3.8,2,0.582,9.2
2013,57.4,3,10.72,156.3907685,,321,4,3,3.73,3,0.586,9.2
2012,56.7,3,11.89,1500.412635,,1190,4,3,4,24,0.583,9.2
2011,56.2,3,10.99,1493.051277,,0,4,39,3.29,41,0.58,9.2
2010,56.1,3,9.93,1192.696619,,0,4,59,3.84,44,0.589,9.2
2009,55.7,3,7.97,115.0692415,,78,4,57,5.32,43,0.59,9.1
2008,55.4,3,8.34,1705.678619,,436,4,55,2.31,42,0.592,9.1
2007,55,3,6.86,1024.519543,,5,4,54,2.25,41,0.587,9
2006,54.8,3,7.28,827.5979335,,0,4,52,2.13,4,0.569,9
2005,54.4,3,7.19,12.0661671,,0,4,5,1.63,39,0.563,8.7
2004,54.1,3,6.28,44.54768305,,38,4,48,2.4,38,0.553,8.5
2003,53.8,3,7.13,309.7834587,,18,4,46,2.23,37,0.554,8.4
2002,53.5,3,6.01,234.7874207,,24,4,44,2.5,36,0.542,8.2
2001,53.1,3,5.07,197.7839552,,1339,4,43,1.78,35,0.527,8
2000,52.7,3,4.46,14.95451321,,0,4,41,2.73,34,0,0
2015,64.7,5,,0,95,198,7,95,,95,0.418,5
2014,64.4,5,0.01,0,94,127,8,94,3.34,94,0.416,5
2013,64,6,0.01,0,94,45,8,94,3.1,94,0.414,5
2012,63.6,6,0.01,0,94,194,8,94,2.98,94,0.41,5
2011,62.9,6,0.62,20.97991915,96,48,8,96,3.6,96,0.405,5
2010,62.1,6,0.61,17.35739784,9,51,9,9,3.24,9,0.404,5.1
2009,61.4,6,0.63,1.575160196,92,82,9,92,3.3,92,0.402,5.2
2008,67,6,0.49,11.76572311,94,0,9,94,3.69,94,0.406,5.2
2007,62,6,1.23,11.42385961,91,55,9,91,3.29,91,0.405,5.3
2006,59.7,7,0.97,10.60269773,94,128,9,94,3.3,94,0.405,5.3
2005,59.4,7,1.07,5.064688968,96,19,9,96,2.97,96,0,5.4
2004,59.1,7,0.64,10.26097341,84,24,10,98,3.14,98,0,5
2003,58.8,7,0.56,6.913998013,91,376,10,95,3.5,93,0,4.7
2002,58.5,7,0.83,0.703132179,86,460,10,92,4.2,9,0,4.4
2001,58.1,7,0.61,5.593619538,,204,10,89,3.95,86,0,4.3
2000,45.3,7,0.83,0.735940361,,789,10,82,4.43,81,0,3.9
2015,77.6,0,,0,91,4,0,93,,93,0.863,16.5
2014,77.3,0,0.01,2700.07305,93,0,0,93,6.38,93,0.86,16.5
2013,76.9,0,0.01,261.2914808,93,2,0,94,6.48,94,0.856,16.5
2012,76.3,0,0.01,2263.103797,94,4,0,94,6.36,94,0.85,16.5
2011,76.1,0,0.01,2146.945741,94,7,0,93,5.83,93,0.838,16.4
2010,75.6,0,14.97,1802.017593,94,0,0,94,6.25,94,0.833,16.2
2009,74.9,0,15.04,1717.088711,95,0,0,95,6.93,95,0.836,16.1
2008,74.2,0,16.99,225.0723618,94,0,0,95,6.6,95,0.835,16.1
2007,73,0,17.87,1904.12469,95,1,0,95,5.16,95,0.829,16.1
2006,73,0,16.58,244.3510801,95,27,0,95,5.1,95,0.822,16.1
2005,72.8,0,15.52,153.5045263,95,2,0,96,5.2,96,0.812,15.9
2004,72.3,0,15.07,101.1201161,9,0,0,95,5.13,94,0.805,15.7
2003,71.9,0,11.64,132.7233922,,0,0,95,4.92,94,0.798,15.6
2002,71.2,0,11.48,7.806042825,,0,0,94,4.84,94,0.791,15.4
2001,78,0,0.01,88.62945822,,0,0,94,4.85,94,0.781,15
2000,78,0,0.01,5.34809451,,9,0,93,5.28,93,0.764,14.4
2015,64.8,136,,0,77,17745,194,75,,77,0.441,8.4
2014,64.2,140,0.01,89.95805845,77,12739,202,75,4.88,77,0.435,8.4
2013,63.7,145,1.86,8.313282039,72,5253,211,7,5.19,72,0.427,8.4
2012,63.3,150,1.84,86.82551124,69,4347,221,7,5.77,69,0.422,8.4
2011,62.6,156,1.32,67.77565369,65,3255,231,7,6.55,65,0.411,8.2
2010,61.8,162,1.34,67.73374413,62,4235,243,69,6.86,61,0.401,8.1
2009,68,169,1.17,53.77354001,56,1176,256,65,4.41,58,0.393,8.1
2008,59.8,177,1.13,38.55783268,52,3511,270,63,4.28,54,0.378,7.6
2007,58.5,186,1.06,30.46451811,47,1446,286,61,4.69,5,0.362,7.1
2006,57.2,196,1.22,22.18952246,,1451,304,59,4.47,46,0.346,6.6
2005,56,206,0.99,18.03753133,,357,323,56,4.2,44,0.325,5.8
2004,55,217,0.86,1.506962482,,73,342,54,4.23,4,0.31,5.4
2003,54,228,0.79,10.97201912,,228,360,55,4.64,37,0.306,5.2
2002,53.2,237,0.8,10.82452594,,3332,377,55,4.73,35,0.298,4.9
2001,52.5,246,0.85,1.186227577,,2366,392,55,4.26,32,0.283,4.3
2000,51.2,253,0.88,11.59481766,,1660,404,55,4.36,3,0,3.9
2015,69.9,0,,0,99,0,0,99,,99,0.734,15.3
2014,69.7,0,0.01,50.539484,99,0,0,99,4.49,99,0.727,15.2
2013,69.6,0,0.01,460.6487805,99,0,0,99,4.26,99,0.719,15
2012,69.4,0,0.01,431.4854874,99,0,0,99,4.16,99,0.714,14.9
2011,69.2,0,0.01,401.7931045,99,0,0,99,4.6,99,0.709,14.7
2010,69.1,0,2.25,62.08343533,99,0,0,99,4.23,99,0.706,14.6
2009,68.9,0,2.31,60.65068446,99,1,0,99,4.26,99,0.704,14.5
2008,68.7,0,1.95,81.04656111,99,0,0,99,3.68,99,0.7,14.3
2007,68.6,0,2.09,5.889526221,99,0,0,99,3.74,99,0.698,14.2
2006,68.5,0,2.06,52.1241634,99,136,0,98,3.84,98,0.695,14
2005,68.3,0,2.02,64.39203443,99,0,0,97,3.61,96,0.699,13.9
2004,68.1,0,1.63,43.99452464,99,37,0,96,3.61,95,0.691,13.4
2003,68,0,1.76,253.8196705,99,305,0,95,3.35,94,0.689,13.3
2002,67.9,0,1.85,206.071686,99,304,0,94,3.48,93,0.687,13.3
2001,67.8,0,1.93,20.7119129,98,17,0,92,3.28,91,0.683,13.2
2000,67.7,0,2.05,31.25834616,98,0,0,91,3.87,9,0.681,13.1
2015,81.1,0,,0,,2,0,97,,97,0.893,17
2014,89,0,8.8,6164.455402,,0,0,98,9.68,98,0.89,17
2013,87,0,8.97,6115.496624,,2,0,98,9.55,98,0.887,17
2012,84,0,9.24,5889.012536,,0,0,99,9.3,99,0.884,17
2011,83,0,9.81,71.01620838,,27,0,99,9.1,99,0.878,16.9
2010,79.9,0,9.72,591.6691405,,5,0,99,9.5,99,0.874,16.8
2009,79.7,0,9.96,579.7384368,,2,0,99,9.2,99,0.878,17
2008,79.6,0,10.26,678.88112,,5,0,97,8.35,99,0.876,17.1
2007,79.3,0,10.45,6147.1323,,0,0,97,8.9,99,0.873,17.2
2006,79.2,0,10.15,524.7775227,,0,0,97,8.38,97,0.869,17.2
2005,78.9,0,9.95,4816.589613,,1,0,97,8.43,97,0.864,17.1
2004,78.7,0,9.89,4508.806185,,0,0,96,8.21,98,0.869,18.3
2003,78.4,0,9.31,3869.026302,,0,0,96,8.15,98,0.866,18.1
2002,78.1,0,9.25,3099.357319,,0,0,95,7.81,98,0.863,18
2001,78,0,8.94,2775.33544,,1,0,95,7.43,98,0.856,17.7
2000,77.5,0,8.59,397.7533689,,0,0,96,7.22,99,0.847,17.3
2015,82.4,2,,0,86,157,3,98,,98,0.894,16.3
2014,82.2,3,11.5,6739.677606,83,267,3,98,11.54,98,0.89,16.2
2013,82,3,11.1,6646.953935,74,272,3,99,11.56,99,0.887,16.2
2012,81.5,3,11.5,751.3793553,78,0,3,99,11.44,99,0.885,16.1
2011,81.7,3,11.8,683.9190568,74,14949,3,99,11.33,99,0.882,16.1
2010,81.3,3,11.7,72.8001211,65,5048,3,99,11.2,99,0.879,16
2009,81.1,3,11.8,6415.35735,51,1541,3,98,11.28,98,0.879,16
2008,89,3,11.9,7002.785925,47,604,3,98,1.57,98,0.877,16.1
2007,89,3,12.2,64.73714894,42,39,3,99,1.45,98,0.873,16.1
2006,86,3,12.4,5689.991931,39,40,4,99,1.53,99,0.87,16.1
2005,81,3,12.2,5451.701225,35,36,4,98,1.6,98,0.86,15.5
2004,82,3,13.18,5291.234786,35,4448,4,99,1.53,98,0.857,15.5
2003,79.3,3,13.49,4572.441963,28,0,4,96,1.43,97,0.852,15.4
2002,79.2,3,13.78,3779.655273,29,5185,4,97,1.22,97,0.851,15.5
2001,79,3,13.89,3451.185079,28,0,4,98,9.89,97,0.849,15.6
2000,78.8,3,13.63,3410.284431,26,10000,4,98,9.77,97,0.844,15.7
2015,66,2,,0,8,27,3,79,,8,0.694,12.6
2014,65.5,2,0.01,715.2816939,7,33,3,68,3.44,7,0.687,12.6
2013,64.6,2,8.86,154.8758879,79,122,3,77,3.98,79,0.678,12.5
2012,63.5,2,8.3,805.3925284,82,2,3,8,3.13,82,0.669,12.5
2011,62.8,2,8.9,133.5223672,75,2,3,75,3.12,75,0.664,12.5
2010,62.3,2,8.85,145.318282,67,1,3,68,3.41,67,0.66,12.5
2009,61.7,2,8.64,52.31086276,79,0,3,74,3.43,76,0.652,12.4
2008,61.6,2,8.75,11.05422474,82,3,3,81,2.54,82,0.651,12.4
2007,61.6,2,9.02,545.4389573,75,0,3,78,2.86,81,0.645,12.4
2006,61.4,2,8.01,40.53719812,52,90,3,44,2.88,45,0.646,12.4
2005,65,2,7.72,353.2438029,28,0,3,44,2.76,45,0.64,12.4
2004,59.7,2,8.13,443.4750634,,63,3,44,3.26,45,0.64,12.3
2003,59.7,2,6.47,352.232365,,0,3,44,3.48,45,0.638,12.3
2002,59.7,2,8.34,22.69039905,,110,3,44,3.22,45,0.636,12.3
2001,59.8,2,9.29,183.6980778,,5129,3,44,3.23,45,0.633,12.3
2000,61,2,8.87,218.1727473,,15,3,44,2.89,45,0.637,12.2
2015,61.1,3,,0,97,71,5,96,,97,0.45,8.9
2014,68,3,0.01,0,96,1,5,97,7.34,96,0.449,8.9
2013,66,3,0.01,0,97,0,5,96,6.49,97,0.445,8.9
2012,62,3,0.01,0,98,0,5,98,6.12,98,0.44,8.8
2011,59.8,3,3.41,0,96,0,5,95,6.24,96,0.441,8.7
2010,59.3,3,3.48,0,97,2,6,97,5.75,97,0.439,8.8
2009,59,3,2.99,0,97,0,6,97,5.85,98,0.434,8.9
2008,58.7,3,2.79,0,98,0,6,96,5.95,96,0.426,8.6
2007,58.5,3,2.64,0,97,0,6,94,5.76,95,0.42,8.4
2006,58.2,3,2.93,0,95,0,6,94,5.52,95,0.415,8.1
2005,57.7,3,2.26,0,95,0,6,94,4.97,95,0.412,7.8
2004,57.3,3,2.51,0,95,0,6,88,4.35,87,0.404,7.6
2003,57,3,2.47,0,94,119,6,87,4.22,87,0.395,7.3
2002,56.6,3,2.08,0,92,32,6,86,3.75,87,0.392,7
2001,56.3,3,2.25,0,91,99,6,85,3.71,87,0.384,6.8
2000,55.9,3,2.18,0,91,336,6,84,3.61,8,0.377,6.5
2015,74.4,1,,0,94,431,1,91,,94,0.768,13.9
2014,74.5,1,6.13,221.482875,91,3188,1,91,7.42,91,0.759,13.5
2013,74.5,1,5.91,180.3787034,96,7872,1,94,7.25,93,0.755,13.5
2012,74.2,1,7.71,158.2576025,92,31,1,93,8.57,92,0.749,13.4
2011,73.9,1,8.14,198.94876,89,64,1,88,9.38,94,0.742,13.3
2010,73.8,1,7.24,194.1732658,95,22,1,88,1.5,92,0.738,13.3
2009,73.2,1,6.66,18.5314303,54,23,1,93,1.19,88,0.734,12.8
2008,73.9,1,7.17,151.762567,89,56,1,9,8.99,92,0.735,13.1
2007,74.4,1,8.65,106.164686,94,44,1,88,8.17,98,0.722,12.5
2006,73.9,1,6.18,110.1138286,84,334,1,89,8.39,88,0.714,12.6
2005,73.9,1,4.7,9.444875415,79,1356,1,82,8.6,82,0.703,12.2
2004,72.3,1,3.74,7.132564768,64,6847,1,66,8.53,78,0.694,12
2003,72.7,1,3.36,70.54185252,48,216,2,74,8.49,75,0.684,11.8
2002,71.7,2,2.72,60.55818291,51,199,2,89,8.72,84,0.677,11.8
2001,73,2,2.76,57.10318825,61,35,2,83,7.82,87,0.673,11.7
2000,71.8,2,3.28,47.81704183,55,50,2,81,6.94,8,0,11.4
2015,81,2,,0,88,2464,3,94,,95,0.924,17.1
2014,89,2,11.03,941.7562909,88,443,3,94,11.3,95,0.92,17
2013,86,2,10.94,895.8779503,88,1771,3,94,11.16,95,0.919,16.9
2012,86,2,11.18,839.91332,88,166,3,94,1.99,95,0.916,16.9
2011,85,2,11.2,869.790735,88,1607,3,94,1.93,95,0.912,16.8
2010,81,2,11.2,7584.078579,88,780,3,94,11.25,95,0.907,16.7
2009,80,2,11.22,7641.270645,88,574,3,95,11.4,96,0.906,16.7
2008,79.9,2,11.36,8285.264655,87,917,3,95,1.39,96,0.903,16.6
2007,79.8,3,11.5,7777.556353,86,567,3,95,1.18,96,0.898,16.6
2006,79.6,3,11.76,6407.535954,87,2307,3,94,1.34,96,0.892,16.5
2005,79.2,3,11.67,6012.92584,9,778,3,95,1.52,96,0.884,16.4
2004,79.1,3,11.83,5842.374765,88,121,3,96,1.37,96,0.877,16.4
2003,78.5,3,11.92,582.6157028,9,779,4,96,1.62,97,0.872,16.3
2002,78.4,3,12.25,437.1059663,87,4657,4,97,1.4,93,0.867,16.3
2001,78.3,3,12.46,4057.637383,86,6024,4,96,1.15,93,0.86,16.2
2000,78,3,12.91,4238.540035,84,0,4,94,1.1,9,0.855,16.2
2015,62.4,37,,0,88,23,52,88,,88,0.575,11.4
2014,62.1,37,0.01,97.67794571,98,124,54,93,3.56,98,0.576,11.7
2013,61.9,38,0.01,28.66897829,9,319,55,91,4.63,9,0.57,11.5
2012,61.6,39,0.01,151.899429,92,1613,56,91,4.79,92,0.563,11.2
2011,61.2,40,1.64,225.2219474,91,120,58,91,4.81,91,0.554,10.9
2010,69,40,1.69,195.9824626,94,641,59,94,5.33,94,0.547,10.5
2009,66,41,1.76,30.72290501,94,101,60,94,5.17,94,0.542,10.4
2008,63,41,1.78,161.0106435,93,82,61,92,4.85,93,0.53,9.8
2007,59.9,41,1.25,3.181373629,94,6,61,94,5.3,94,0.519,9.1
2006,59.4,41,1.7,129.0263364,84,420,62,84,4.64,84,0.51,8.7
2005,58.9,41,1.5,78.71123825,84,435,62,85,4.51,84,0.499,8.1
2004,58.3,41,1.46,53.23775977,8,60,62,81,3.96,8,0.491,7.7
2003,57.9,41,1.53,31.09435342,8,1939,63,8,3.12,8,0.489,7.9
2002,57.6,42,1.6,3.336437969,8,12289,63,8,3.7,78,0.484,7.6
2001,57.4,42,1.49,25.55981288,,13476,64,81,3.56,79,0.485,8
2000,57.2,43,1.6,20.65432873,,23068,65,88,3,88,0.48,7.7
2015,81,0,,0,96,1,0,99,,99,0.865,17.2
2014,88,0,7.53,2163.043414,96,1,0,99,8.8,99,0.862,17.2
2013,86,0,7.46,2183.106986,98,3,0,99,9.26,99,0.86,17.1
2012,84,0,8.2,2528.992935,98,3,0,99,9.24,99,0.858,16.8
2011,85,0,8.02,3192.887363,95,40,0,99,9.77,99,0.86,16.7
2010,83,0,9,3189.754439,95,149,0,99,9.18,99,0.859,16.4
2009,80,0,9.08,372.6854142,95,2,0,99,9.76,99,0.857,16.2
2008,79.9,0,9.51,3682.88717,95,1,0,99,9.76,99,0.853,15.9
2007,79.4,0,9.67,3632.243121,95,2,0,99,9.41,99,0.855,16.4
2006,79.7,0,9.42,318.5806628,94,0,1,98,9.34,98,0.85,16.3
2005,79.3,0,9.95,2785.139364,93,122,1,96,9.36,96,0.839,15.6
2004,79.2,0,9.56,287.6124519,92,1,1,95,8.3,95,0.83,15.3
2003,79.1,0,9.46,2124.921517,92,0,1,93,8.61,94,0.823,15.2
2002,79,1,8.09,160.8897265,91,5,1,92,8.72,92,0.811,14.6
2001,78.7,1,8.62,1403.022211,9,12,1,9,8.47,91,0.801,14.2
2000,78.2,1,8.48,122.1823517,89,56,1,89,7.6,89,0.794,13.9
2015,73.6,0,,0,92,0,0,99,,92,0.751,15.8
2014,73.5,0,8.42,789.2764615,97,0,0,81,6.1,97,0.749,15.8
2013,73.3,0,8.25,780.4459281,97,0,0,98,6.15,97,0.746,15.8
2012,73.1,0,8.07,865.9999782,97,0,0,98,6.36,97,0.744,15.8
2011,72.9,0,7.84,11.56715633,94,0,0,95,6.35,95,0.741,15.8
2010,72.6,0,7.91,145.8401998,97,0,0,94,6.41,97,0,15.8
2009,72.4,0,8.42,146.4384488,99,0,0,99,6.24,99,0,15.6
2008,72.1,0,8.92,754.9597129,99,0,0,99,5.76,99,0,15.4
2007,71.9,0,9.06,95.19375921,96,0,0,96,5.88,96,0,15.3
2006,71.7,0,9.06,662.2663687,91,0,0,91,5.99,91,0,15.1
2005,71.5,0,8.8,119.5548694,99,0,0,99,5.5,99,0,14.9
2004,73,0,8.43,100.965873,83,0,0,84,5.24,83,0,14.8
2003,71.1,0,9.75,77.9454329,97,0,0,98,5.89,97,0,14.6
2002,79,0,10.71,513.3465408,98,0,0,98,6.67,98,0,14.4
2001,77,0,9.61,81.11355954,96,0,0,96,7.67,96,0,14.3
2000,74,0,9.4,676.5453878,,0,0,97,6.62,97,0,14.1
2015,71.9,10,,0,74,0,12,9,,74,0.637,10.7
2014,71.7,10,1.88,657.5282797,73,0,13,65,6.2,73,0.614,10.7
2013,71.4,11,1.93,582.1469583,85,0,13,84,6.3,85,0.611,10.7
2012,71.3,11,2.02,484.7187892,96,0,13,94,6.33,96,0.616,10.6
2011,71.1,11,2.16,457.7745845,88,0,14,88,6.28,88,0.609,10.5
2010,77,12,2.14,443.3248254,94,0,14,94,6.64,94,0.602,10.5
2009,76,12,2.14,445.4423371,92,0,15,92,6.79,92,0.596,10.4
2008,79,13,2.21,472.2234994,95,0,15,96,6.65,95,0.589,10.4
2007,75,13,2.4,380.9632429,85,0,16,85,6.86,85,0.578,10.1
2006,69.7,14,2.38,352.0244894,89,0,17,9,7.7,89,0.57,9.8
2005,69.2,14,2.35,41.50845637,87,0,18,87,6.79,87,0.567,9.6
2004,69.6,15,2.4,288.4016258,,0,18,88,6.77,87,0.564,9.3
2003,69.4,15,2.45,249.3262948,,0,19,84,6.88,84,0.56,9
2002,69.3,16,2.41,25.25040918,,0,20,82,6.71,82,0.553,8.8
2001,68.4,16,2.53,225.0619956,,0,20,78,6.76,77,0.546,8.5
2000,67.7,17,2.63,238.7369808,,0,21,8,5.25,81,0.539,8.2
